,prompt,response
10,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Tom has 30 green balloons ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Tom has 30 green balloons  [/INST]  Tom has 30 green balloons  Sangakkara has 17 green balloons  In 12 balls Karun has 4 green balloons  How many green balloons does Sangakkara have? </s>""  Sangakkara has 17 green balloons In 12 balls Karun has 4 green balloons How many green balloons does Karun have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
11,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with The teacher decides to buy books for ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with The teacher decides to buy books for  [/INST]  The teacher decides to buy books for 650 rupees. This is 10 times more than the price of a new book. How much money does the teacher need to buy 60 books? </s>""  The teacher decides to buy 50 books for 750 rupees. This is 15 times more than the price of a new book. How much money does the teacher need to buy 40 books? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
12,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Binura has 11 boxes ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Binura has 11 boxes  [/INST]  Binura has 11 boxes and Kamala has 7 fewer boxes than Binura. How many boxes does Kamala have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
13,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rosy has 9 chickens and ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rosy has 9 chickens and  [/INST]  Rosy has 9 chickens and  she gave Murali 2 of the chickens. How many chickens does he now have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>""  Rosy has 9 chickens and  she gave Murali 2 of the chickens. How many chickens does he now have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
14,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with vimaala has 20 acre land and ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with vimaala has 20 acre land and  [/INST]  vimaala has 20 acre land and  vimaala has 4 more acre land than Kamala. How many acre does Kamala have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
15,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Seth bought 20 cartons of ice cream and 2 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Seth bought 20 cartons of ice cream and 2 iced tea [/INST]  Seth bought 20 cartons of ice cream and 2 iced tea cans, and he also bought 24 boxes of Nutella. How many boxes of ice cream does he have? </s>"" <s>""How many boxes of ice cream does he have? </s>""  4 boxes of Nutella </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
16,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with In fourth grade there were 42 students at the ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with In fourth grade there were 42 students at the  [/INST]  In fourth grade there were 42 students at the drawing class. There were 4 less girls than boys. How many girls attended? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
17,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rosy ran 7.3 mile ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rosy ran 7.3 mile  [/INST]  Rosy ran 7.3 mile and walked 4 mile. How much farther did Rosy run than walk? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
18,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A cow gets 3 liters of ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A cow gets 3 liters of ________ out of a [/INST]  A cow gets 3 liters of ________ out of a day. If she drank 1 liter every 2 hours, how much is left? </s>"" </s>"" </s>"" >

3 liters of milk per day. Divide that number by 12 hours to get 3 liters of milk per day. How many days are there 52 days in 9 months? </s>"" <s>""How many liters of milk are there in 9 months? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"". </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
19,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sunil is 20 years ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sunil is 20 years  [/INST]  Sunil is 20 years old and Nalin is 12 years older than Sunil. How old is Nalin? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
20,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Vimal spoke 2 hours but ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Vimal spoke 2 hours but  [/INST]  Vimal spoke 2 hours but 8 minutes were wasted in a conference. How many good minutes did Vimal have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
21,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A crocodile walked 3 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A crocodile walked 3  [/INST]  A crocodile walked 3 kilometers per day. How far was the crocodile when it finished walking? </s>"" <s>""A crocodile walked 3 kilometers per day. How far was the crocodile when it finished walking? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" } Today's date is January 26. What is the total distance the crocodile has traveled since its birth? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
22,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A dog walked 5 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A dog walked 5  [/INST]  A dog walked 5 miles and flew 12 miles. How much farther did the dog fly than walk? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
23,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ravi had 6 balls in ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ravi had 6 balls in  [/INST]  Ravi had 6 balls in his house and his friend gave him 10. How many balls does Ravi have? </s>""  Ravi had 6 balls in his house and his friend gave him 10. How many balls does Ravi have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
24,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Melanie grew 139 turnips ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Melanie grew 139 turnips  [/INST]  Melanie grew 139 turnips. Benny grew 113 turnips. How many more turnips did Melanie grow than Benny? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
25,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Lewis then went to see the oranges being ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Lewis then went to see the oranges being iced. She [/INST]  Lewis then went to see the oranges being iced. She placed 12 oranges in a bag and used 6 oranges in the bag. How many oranges did Lewis use in total? </s>""  Lewis then went to see the oranges being iced. She placed 12 oranges in a bag and used 6 oranges in the bag. How many oranges did Lewis use in total? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
26,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jerry had 18 plants, ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jerry had 18 plants,  [/INST]  Jerry had 18 plants, but 15 were died. How many living plants did Jerry has? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
27,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ranga is 46 years ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ranga is 46 years ""[INST]  Ranga is 46 years old and his friend is 8 years younger than him. How old is his friend? </s>""  Ranga is 46 years old and his friend is 8 years younger than him. How old is his friend? </s>"" </INST>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>""How old is the youngest friend of Ranga? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
28,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Kalan has 12 bottles ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Kalan has 12 bottles  [/INST]  Kalan has 12 bottles and Kamala has 8 fewer bottles than Kalan. How many bags does Kamala have? </s>"" # Find the number of bags Kamala has. </s>"" # Find the number of bags on Kamala. </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
29,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mickey ordered 12 pizzas. One ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mickey ordered 12 pizzas. One  [/INST]  Mickey ordered 12 pizzas. One pizza weighs 12.2 oz. The next 9.25 oz. weighs 7.4 oz. What is the total weight of all the pizzas? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
30,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with I walk in every 1 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with I walk in every 1  [/INST]  I walk in every 1 minute. How many minutes does it take me to walk 24 miles? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
31,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Kelly has 121 Nintendo games. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Kelly has 121 Nintendo games.  Kelly [/INST]  Kelly has 121 Nintendo games. Kelly has 16 oranges. What is the total number of oranges Kelly has? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
32,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Disha has 05 gowns in 5 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Disha has 05 gowns in 5  [/INST]  Disha has 05 gowns in 5 different colors. How many colors must she have? </s>""  Disha has 05 gowns in 5 different colors. How many colors must she have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>"" Karen has 26 necklaces. How many necklaces must she have to wear in total? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
33,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with The Sumata family drove ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with The Sumata family drove  [/INST]  The Sumata family drove 2 hours and 15 minutes. How long did it take them to drive 4 hours? </s>""  The Sumata family drove 2 hours and 15 minutes. How long did it take them to drive 4 hours? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>"" How long did it take them to drive 4 hours? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
34,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Supun is 11 pounds ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Supun is 11 pounds  [/INST]  Supun is 11 pounds and Lajman is 9 pounds lighter than Supun. How much lighter is Lajman? </s>""  Supun is 11 pounds and Lajman is 9 pounds lighter than Supun. How much lighter is Lajman? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
35,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ravi had 9 deposits in his ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ravi had 9 deposits in his  [/INST]  Ravi had 9 deposits in his savings and his dad gave him 4 more. How many deposits does Ravi have? </s>""  Ravi had 9 deposits in his savings and his dad gave him 4 more. How many deposits does Ravi have? </s>"" </s>"" <s>""How many deposits does he have? </s>"" </s>"" </s>""How many deposits does he have? </s>"" </s>"" </s>"" </s>""How many deposits does he have if he has 4 more than his dad? </s>"" </s>"" </s>"" </s>""How many deposits does he have? </s>"" </s>"" </s>"""
36,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 40 friends have decided to ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 40 friends have decided to  go out for a [/INST]  40 friends have decided to go out for a drink. They all have 16 sodas each. How much sodas will they all have? </s>""  40 friends have decided to go out for a drink. They all have 16 sodas each. How much sodas will they all have? </s>"" </s>"" </s>"" 4 drinks is equal to 12 servings. How many sodas will they all have? </s>"" </s>"" </s>"" </s>"" How many cups of soda will they have? </s>"" </s>"" </s>"" </s>"" </s>"" How many sodas will they all have? </s>"" </s"
37,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Bala is 74 years old ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Bala is 74 years old  [/INST]  Bala is 74 years old  and his son is 44 years old. How many years ago was Bala six times as old as his son? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
38,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ramela had 8 fresh apples in ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ramela had 8 fresh apples in  [/INST]  Ramela had 8 fresh apples in her bag and her mother gave her 4 more oranges. How many oranges does Ramela have? </s>"" </s>"" </s>"" </s>"" <s>""How many oranges does Ramela have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
39,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 2 beavers were working on ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 2 beavers were working on  [/INST]  2 beavers were working on a fence. 8 hours went by and they did not finish. What is the total time they spent working? </s>""  2 beavers were working on a fence. 8 hours went by and they did not finish. What is the total time they spent working? </s>"" </s>"" </s>"" </s>"" 26 hours went by and they did not finish. What is the total time they spent working? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
40,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sunil is 44 years ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sunil is 44 years  [/INST]  Sunil is 44 years old and Nalin is 11 years older than Sunil. How old is Nalin? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
41,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Christina just transferred $ 69 out of her ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Christina just transferred $ 69 out of her  [/INST]  Christina just transferred $ 69 out of her bank. She lost $ 21. How much money does she have left? </s>""  Christina just transferred $ 69 out of her bank. She lost $ 21. How much money does she have left? </s>"" How much money does she have if she transferred $ 69 out of her bank and lost $ 21? </s>"" How much money does she have if she transferred $ 69 out of her bank and then transferred $ 69 out of her bank again? </s>"" </s>"" </s>"" How much money does she have if she has $ 69 in her bank and transferred $ 69 out of her bank? </s>"" </"
42,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jorge scored 156 goals playing soccer ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jorge scored 156 goals playing soccer </INST> </s>"" > <s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jorge scored 156 goals playing soccer. If he scored 21 goals in a game, and the score was tied at the end of the game, how many goals did he score overall </s>"" > <s> JORGE SCORED 156 goals playing soccer. If he scored 21 goals in a game, and the score was tied at the end of the game, how many goals did he score overall </s>"" > <s> How many goals did he score in a match? </s>"" > <s>"" Jeppita scored 152 goals playing soccer. If she"
